종목코드,종목명,연도,분기,사용가능일,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,부채비율,영업이익률,순이익률,ROE,주식수,EPS,BPS
047050,포스코인터내셔널,2020,4Q,2021-04-01,21472386358000.0,474478289000.0,229524209000.0,8328038736000.0,5167165003000.0,3160873733000.0,163.472680007873,2.2097138207613467,1.0689273431151998,7.261416569846892,123375149.0,1860.3763469416358,25620.01957946977
047050,포스코인터내셔널,2021,1Q,2021-05-15,7087036467000.0,126902597000.0,92857298000.0,9554611624000.0,6377843869000.0,3176767755000.0,200.76519156811955,1.790629942302511,1.3102415718104417,2.9230118523410913,123375149.0,752.6418306493798,25748.846349924166
047050,포스코인터내셔널,2021,2Q,2021-08-15,8524458162000.0,170000261000.0,126281051000.0,10310196217000.0,7017959121000.0,3292237096000.0,213.16688064558517,1.994264711836121,1.4813968066959469,3.8357216481592062,123375149.0,1023.5533818889248,26684.766929845817
047050,포스코인터내셔널,2021,3Q,2021-11-15,9151472569000.0,148510999000.0,68954253000.0,11496868886000.0,8070051347000.0,3426817539000.0,235.49696635890834,1.6228098579792616,0.7534771314681957,2.012195053143155,123375149.0,558.8990453823079,27775.58987183067
047050,포스코인터내셔널,2021,4Q,2022-04-01,33948864785000.0,585385807000.0,356487962000.0,10770734147000.0,7258594219000.0,3512139928000.0,206.67155545631778,1.7243162936589487,1.0500732918689848,10.150163982874204,123375149.0,2889.4632743260154,28467.15855232726
047050,포스코인터내셔널,2022,1Q,2022-05-15,9912253023000.0,216047156000.0,163129060000.0,13339639657000.0,9374250286000.0,3965389371000.0,236.40176055739977,2.1795968635858336,1.6457313954908313,4.113821991681533,123375149.0,1322.2197608045037,32140.90846609636
047050,포스코인터내셔널,2022,2Q,2022-08-15,11069860002000.0,320605320000.0,235943938000.0,15153540959000.0,10923497197000.0,4230043762000.0,258.2360328072653,2.896200312759836,2.1314085088462895,5.577813168732886,123375149.0,1912.410561708825,34286.02758566881
047050,포스코인터내셔널,2022,3Q,2022-11-15,9041217269000.0,197032838000.0,112759614000.0,14766999207000.0,10287055318000.0,4479943889000.0,229.6246464885132,2.179273344924192,1.2471729264445797,2.516987194345639,123375149.0,913.9572670343847,36311.55808371101
047050,포스코인터내셔널,2022,4Q,2023-04-01,37989588330000.0,902507009000.0,604912380000.0,12516336931000.0,8118209853000.0,4398127078000.0,184.58333988593313,2.3756693575099868,1.5923109635865855,13.753863162022986,123375149.0,4903.032619640443,35648.40337497789
047050,포스코인터내셔널,2023,1Q,2023-05-15,8306594595000.0,279562235000.0,191297784000.0,17340650514000.0,11081572040000.0,6259078474000.0,177.04798056187465,3.365545673413233,2.3029628063845577,3.0563250611834394,175922788.0,1087.3962729603854,35578.5543485134
