날짜,종목코드,시가총액,상장주식수
2018-01-08,009150,8104266016000,74693696
2018-01-08,009830,5562315866250,164809359
2018-01-08,010130,9416130000000,18870000
2018-01-08,010140,3256500000000,390000000
2018-01-08,010950,12552981308000,112582792
2018-01-08,011070,3360729194000,23667107
2018-01-08,011170,13144623186500,34275419
2018-01-08,011200,1409362338040,311805827
2018-01-08,012330,24092606092500,97343863
2018-01-08,012450,1843630000000,52600000
2018-01-08,015760,23945260072100,641964077
2018-01-08,017670,21478359126000,80745711
2018-01-08,018260,19189694400000,77377800
2018-01-08,021240,7257357737000,74818121
2018-01-08,024110,9407644092000,559978815
2018-01-08,028260,24849395633000,189690043
2018-01-08,029780,4512703804450,115858891
2018-01-08,030200,7768076288000,261111808
2018-01-08,032830,24600000000000,200000000
2018-01-08,033780,14896235924500,137292497
2018-01-08,034730,20298945684500,70360297
2018-01-08,035420,31314545050000,32962679
2018-01-08,035720,10831410056500,67908527
2018-01-08,036570,9214389240000,21939022
2018-01-08,042660,1669958063100,105028809
2018-01-08,047050,2442827950200,123375149
2018-01-08,047810,4639815093200,97475107
2018-01-08,051900,18179581308000,15618197
2018-01-08,051910,29966449603500,70592343
2018-01-08,052690,837018000000,38220000
2018-01-08,055550,24658378524000,474199587
2018-01-08,058470,823087980000,15242370
2018-01-08,064350,1610750000000,85000000
2018-01-08,066570,17183020470000,163647814
2018-01-08,068270,37106593260000,122666424
2018-01-08,069960,2562567289500,23402441
2018-01-08,071050,4402353368000,55725992
2018-01-08,078930,5742170360400,92915378
2018-01-08,086790,16043365960400,296003062
2018-01-08,088350,6018912900000,868530000
2018-01-08,090430,17537547000000,58458490
2018-01-08,093370,915681552230,92399753
2018-01-08,096770,18261948890000,92465564
2018-01-08,097950,4901750256000,13176748
2018-01-08,105560,27846228364200,418111537
2018-01-08,111770,1382517801600,44311468
2018-01-08,120110,2253501885600,25549908
2018-01-08,128940,6686907748000,11163452
2018-01-08,138040,2229018760800,142885818
2018-01-08,139480,7568284858500,27875819
2018-01-08,161390,6701641232900,123875069
2018-01-08,185750,1312562475000,9409050
2018-01-08,207940,26432917500000,66165000
2018-01-08,214370,922823700000,10743000
2018-01-08,241560,3528770643200,100249166
2018-01-08,251270,14071866717500,85026385
2018-01-08,267250,7125394937500,16286617
2018-01-08,267260,1199179502500,10205783
2018-01-08,271560,4071950603000,39533501
2018-01-09,000100,2572330068000,11665896
2018-01-09,000150,2284562357000,19198003
2018-01-09,000270,13174308777500,405363347
2018-01-09,000660,55983381868500,728002365
2018-01-09,000720,4276061376000,111355765
2018-01-09,000810,12885955664000,47374837
2018-01-09,000990,559034683200,44367832
2018-01-09,001450,3938070000000,89400000
2018-01-09,001570,106775277500,42710111
