날짜,종목코드,종목명,종가,거래량,시가총액,PER,PBR,상장폐지일,사유
2018-09-27,000030,우리은행,16700,1400704,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-28,000030,우리은행,16900,1669106,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-01,000030,우리은행,16900,1017046,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-02,000030,우리은행,16700,855384,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-04,000030,우리은행,17000,1773613,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-05,000030,우리은행,16800,973128,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-08,000030,우리은행,16900,853609,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-10,000030,우리은행,16950,1230949,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-11,000030,우리은행,16150,3013301,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-12,000030,우리은행,16150,1270465,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-15,000030,우리은행,16200,719280,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-16,000030,우리은행,16100,741589,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-17,000030,우리은행,16350,972479,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-18,000030,우리은행,16300,818633,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-19,000030,우리은행,16350,795911,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-22,000030,우리은행,16550,900865,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-23,000030,우리은행,16150,1095006,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-24,000030,우리은행,16450,947468,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-25,000030,우리은행,16150,1730426,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-26,000030,우리은행,16150,1298335,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-29,000030,우리은행,16100,1142868,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-30,000030,우리은행,15400,2462224,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-10-31,000030,우리은행,15750,2235650,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-01,000030,우리은행,15650,1094757,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-02,000030,우리은행,15900,1269374,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-05,000030,우리은행,15700,1240327,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-06,000030,우리은행,15850,745565,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-07,000030,우리은행,15750,1067954,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-08,000030,우리은행,15950,1394020,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-09,000030,우리은행,15800,891924,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-12,000030,우리은행,16050,737752,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-13,000030,우리은행,16050,801972,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-14,000030,우리은행,16000,593200,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-15,000030,우리은행,16000,488983,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-16,000030,우리은행,15900,673665,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-19,000030,우리은행,15850,738815,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-20,000030,우리은행,16000,721696,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-21,000030,우리은행,16000,661101,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-22,000030,우리은행,16000,422748,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-23,000030,우리은행,16050,755783,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-26,000030,우리은행,15800,1366321,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-27,000030,우리은행,15900,947512,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-28,000030,우리은행,15700,1451132,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-29,000030,우리은행,15800,881296,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-11-30,000030,우리은행,15650,1752554,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-03,000030,우리은행,15700,994384,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-04,000030,우리은행,15850,945165,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-05,000030,우리은행,15850,972013,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-06,000030,우리은행,15700,1053698,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-07,000030,우리은행,15650,889993,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-10,000030,우리은행,15600,1155944,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-11,000030,우리은행,15650,1101101,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-12,000030,우리은행,15550,1161508,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-13,000030,우리은행,15600,2547965,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-14,000030,우리은행,15700,1552916,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-17,000030,우리은행,15900,1340027,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-18,000030,우리은행,16200,1726324,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-19,000030,우리은행,16200,1307132,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-20,000030,우리은행,16250,1307679,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-21,000030,우리은행,16500,1746143,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-24,000030,우리은행,16350,1448191,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-26,000030,우리은행,16150,2114580,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-27,000030,우리은행,15700,1896481,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-12-28,000030,우리은행,15600,1406627,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2019-01-02,000030,우리은행,15400,2040631,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2019-01-03,000030,우리은행,15650,1946792,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2019-01-04,000030,우리은행,15400,2626832,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2019-01-07,000030,우리은행,14550,10334391,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2019-01-08,000030,우리은행,14800,6296886,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2019-01-09,000030,우리은행,14800,0,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2019-01-10,000030,우리은행,14800,0,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2019-01-11,000030,우리은행,14800,0,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2019-01-14,000030,우리은행,14800,0,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2019-01-15,000030,우리은행,14800,0,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2019-01-16,000030,우리은행,14800,0,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2019-01-17,000030,우리은행,14800,0,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2019-01-18,000030,우리은행,14800,0,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
